#,,,,,
pl_name,ra,dec,sy_dist,sy_disterr1,sy_disterr2
GJ 536 b,210.2597264,-2.6522901,10.4092,0.00955,-0.00955
GJ 581 b,229.8564725,-7.7226935,6.2981,0.002095,-0.002095
GJ 581 c,229.8564725,-7.7226935,6.2981,0.002095,-0.002095
GJ 581 e,229.8564725,-7.7226935,6.2981,0.002095,-0.002095
GJ 625 b,246.3557854,54.3033625,6.47249,0.001155,-0.001155
GJ 649 b,254.5363221,25.7419719,10.3796,0.00335,-0.00335
GJ 667 C b,259.7510609,-34.9977651,7.24396,0.00486,-0.00485
GJ 667 C c,259.7510609,-34.9977651,7.24396,0.00486,-0.00485
GJ 667 C e,259.7510609,-34.9977651,7.24396,0.00486,-0.00485
GJ 667 C f,259.7510609,-34.9977651,7.24396,0.00486,-0.00485
GJ 667 C g,259.7510609,-34.9977651,7.24396,0.00486,-0.00485
GJ 674 b,262.1700476,-46.8989826,4.54896,0.001015,-0.001015
GJ 676 A b,262.5448903,-51.6377777,16.0272,0.0101,-0.0101
GJ 676 A c,262.5448903,-51.6377777,16.0272,0.0101,-0.0101
GJ 676 A d,262.5448903,-51.6377777,16.0272,0.0101,-0.0101
GJ 676 A e,262.5448903,-51.6377777,16.0272,0.0101,-0.0101
GJ 680 b,263.8072214,-48.6788427,9.67315,0.005135,-0.005135
GJ 682 b,264.2610245,-44.3232519,5.00671,0.0021,-0.0021
GJ 682 c,264.2610245,-44.3232519,5.00671,0.0021,-0.0021
GJ 685 b,263.8960378,61.6793482,14.3155,0.0081,-0.0081
GJ 687 b,264.1041731,68.3336741,4.54939,0.00068,-0.00068
GJ 687 c,264.1041731,68.3336741,4.54939,0.00068,-0.00068
GJ 720 A b,278.8294172,45.7456038,15.5575,0.0061,-0.0061
GJ 724 b,280.238365,-13.3824997,16.9658,0.014,-0.014
GJ 740 b,284.4997178,5.902867,11.1017,0.00605,-0.00605
GJ 806 b,311.2697002,44.5002351,12.0445,0.00435,-0.00435
GJ 806 c,311.2697002,44.5002351,12.0445,0.00435,-0.00435
GJ 832 b,323.3912616,-49.0125169,4.96435,0.001065,-0.001065
GJ 849 b,332.4229938,-4.6408317,8.80058,0.003615,-0.003615
GJ 849 c,332.4229938,-4.6408317,8.80058,0.003615,-0.003615
GJ 86 b,32.6224785,-50.8209945,10.7836,0.0054,-0.0053
GJ 876 b,343.3239737,-14.2665958,4.67517,0.00167,-0.00167
GJ 876 c,343.3239737,-14.2665958,4.67517,0.00167,-0.00167
GJ 876 d,343.3239737,-14.2665958,4.67517,0.00167,-0.00167
GJ 876 e,343.3239737,-14.2665958,4.67517,0.00167,-0.00167
GJ 887 b,346.4668274,-35.8530693,3.29,0.01,-0.01
GJ 887 c,346.4668274,-35.8530693,3.29,0.01,-0.01
GJ 896 A b,352.9700384,19.9370011,6.26022,0.003265,-0.003265
GJ 900 b,353.7526177,1.6055211,20.8065,0.0357,-0.0357
GJ 9066 c,30.0588307,13.0443172,4.471,0.00215,-0.00215
GJ 9404 b,184.8472095,28.3827126,23.8839,0.0254,-0.0253
GJ 96 b,35.5624031,47.8802075,11.9315,0.0093,-0.0093
GJ 9689 b,303.467731,13.3888921,30.6203,0.04185,-0.04185
GJ 9714 b,315.4141767,-32.5250028,20.5121,0.0247,-0.0247
GJ 9827 b,351.7717763,-1.2853435,29.661,0.0543,-0.0541
GJ 9827 c,351.7717763,-1.2853435,29.661,0.0543,-0.0541
GJ 9827 d,351.7717763,-1.2853435,29.661,0.0543,-0.0541
GPX-1 b,38.3691648,56.025708,655.013,17.102,-16.269
GQ Lup b,237.3003643,-35.6515055,151.169,1.096,-1.081
GSC 06214-00210 b,245.4776921,-20.7193398,108.5,0.513,-0.508
GU Psc b,18.146485,17.0650029,47.5501,0.1649,-0.1638
Gaia-1 b,90.6436658,-0.5771099,363.66,3.058,-3.008
Gaia-2 b,110.7353308,67.2526565,209.229,1.134,-1.121
Gaia22dkvL b,151.769,-66.1808889,980,90,-120
Gaia22dkvL b,151.769,-66.1808889,980,60,-260
Gaia22dkvL b,151.769,-66.1808889,890,230,-120
Gaia22dkvL b,151.769,-66.1808889,1660,110,-810
Gaia22dkvL b,151.769,-66.1808889,1040,70,-280
Gaia22dkvL b,151.769,-66.1808889,1580,100,-650
Gaia22dkvL b,151.769,-66.1808889,1270,430,-250
Gl 378 b,150.5865513,48.0824515,14.9545,0.00725,-0.00725
Gl 49 b,15.6687321,62.3454386,9.8528,0.00328,-0.00328
Gl 686 b,264.4764878,18.5959509,8.15728,0.00232,-0.00232
Gliese 12 b,3.9579137,13.5576175,12.21,0.01305,-0.01305
HAT-P-1 b,344.4453632,38.674919,158.979,0.977,-0.965
HAT-P-11 b,297.7101763,48.0818635,37.7647,0.0337,-0.0336
HAT-P-11 c,297.7101763,48.0818635,37.7647,0.0337,-0.0336
HAT-P-12 b,209.3886452,43.49331,142.751,0.453,-0.45
HAT-P-13 b,129.8823772,47.3519076,246.81,2.228,-2.188
HAT-P-13 c,129.8823772,47.3519076,246.81,2.228,-2.188
HAT-P-14 b,260.1161719,38.2421682,222.663,1.257,-1.244
HAT-P-15 b,66.248142,39.460602,192.516,2.053,-2.01
HAT-P-16 b,9.5730343,42.4630961,226.637,4.471,-4.305
HAT-P-17 b,324.5359781,30.4881882,92.3831,0.4851,-0.4802
HAT-P-17 c,324.5359781,30.4881882,92.3831,0.4851,-0.4802
HAT-P-18 b,256.346376,33.0123251,161.4,0.61,-0.605
HAT-P-19 b,9.5165832,34.7114025,202.078,1.471,-1.451
HAT-P-2 b,245.1514324,41.0479601,127.774,0.425,-0.423
HAT-P-2 c,245.1514324,41.0479601,127.774,0.425,-0.423
HAT-P-20 b,111.9164295,24.3361185,71.0374,0.1994,-0.1983
HAT-P-21 b,171.2749348,41.0280207,277.278,3.215,-3.144
HAT-P-22 b,155.6814593,50.1287115,81.7647,0.2505,-0.2489
HAT-P-23 b,306.1239076,16.7621462,364.813,4.772,-4.653
HAT-P-24 b,108.8251171,14.2626064,415.344,6.636,-6.435
HAT-P-25 b,48.4354731,25.1973548,300.384,4.3,-4.182
HAT-P-26 b,213.1565508,4.0594175,141.837,1.152,-1.133
HAT-P-27 b,222.7673221,5.9473626,199.173,1.451,-1.43
HAT-P-28 b,13.0009159,34.728402,401.319,5.542,-5.395
HAT-P-29 b,33.1310921,51.7787754,313.576,4.43,-4.31
HAT-P-3 b,206.0940142,48.028565,134.554,0.48,-0.477
HAT-P-30 b,123.9498431,5.8368669,213.985,2.217,-2.173
HAT-P-31 b,271.5376722,26.4266061,344.05,2.913,-2.865
HAT-P-32 b,31.0427614,46.6878512,289.205,5.355,-5.167
HAT-P-33 b,113.1842383,33.8350214,396.11,7.647,-7.368
HAT-P-34 b,303.1954355,18.1047776,249.325,2.804,-2.744
HAT-P-35 b,123.250703,4.7870288,506.965,13.193,-12.551
HAT-P-36 b,188.2662048,44.9153672,294.419,2.269,-2.235
HAT-P-37 b,284.2960393,51.2691212,390.594,2.723,-2.686
HAT-P-38 b,35.3834942,32.2460441,255.206,2.473,-2.427
HAT-P-39 b,113.7582526,17.8300283,697.004,17.938,-17.075
HAT-P-4 b,229.99122,36.229545,320.451,2.852,-2.802
HAT-P-40 b,335.5129199,45.4573423,464.469,6.537,-6.361
HAT-P-41 b,297.3226523,4.6724124,348.185,4.529,-4.417
HAT-P-42 b,135.3443583,6.0970828,405.238,7.779,-7.496
HAT-P-43 b,128.9256885,10.2065866,528.825,7.587,-7.379
HAT-P-44 b,213.1438604,47.0147826,347.85,2.226,-2.199
HAT-P-44 c,213.1438604,47.0147826,347.85,2.226,-2.199
HAT-P-45 b,274.3732697,-3.3810594,298.64,6.031,-5.801
HAT-P-46 b,270.4441831,-2.97098,290.736,5.11,-4.94
HAT-P-49 b,305.4413294,26.6926759,350.351,3.552,-3.482
HAT-P-5 b,274.4055335,36.6214617,303.336,1.812,-1.791
HAT-P-50 b,118.0634379,12.1393474,515.458,16.696,-15.697
HAT-P-51 b,21.0651251,32.8107,440.089,8.189,-7.901
HAT-P-52 b,42.7217412,29.0222492,361.155,4.2875,-4.2875
HAT-P-53 b,21.8711012,38.9681137,666.802,15.276,-14.619
HAT-P-54 b,99.8979924,25.4824005,143.651,0.583,-0.579
HAT-P-55 b,264.2735096,25.7311468,511.388,3.634,-3.585
HAT-P-56 b,100.8480137,27.2521823,320.639,5.652,-5.463
HAT-P-57 b,274.743418,10.5971968,279.86,3.249,-3.176
HAT-P-58 b,68.8465093,56.8682691,515.59,12.777,-12.184
HAT-P-59 b,292.4588212,62.5291892,265.471,1.374,-1.36
HAT-P-6 b,354.7740917,42.4659866,275.358,3.636,-3.545
